id;group_id;user_id;group_type;role;created_by;last_modified_by
1;1;1;GROUP;PM_PO;admin@localhost.com;admin@localhost.com
2;2;2;GROUP;PM_PO;nguyenoi@localhost.com;nguyenoi@localhost.com
3;3;3;GROUP;APO;vull@localhost.com;vull@localhost.com
4;4;4;GROUP;SM;thamnv@localhost.com;thamnv@localhost.com
5;5;5;GROUP;MEMBER;hieuvt@localhost.com;hieuvt@localhost.com
6;6;6;GROUP;NON_TECH;nguyennq@localhost.com;nguyennq@localhost.com
7;1;7;SUB_GROUP;PM_PO;admin@localhost.com;admin@localhost.com
8;2;8;SUB_GROUP;APO;nguyenoi@localhost.com;nguyenoi@localhost.com
9;3;9;SUB_GROUP;SM;vull@localhost.com;vull@localhost.com
10;4;10;SUB_GROUP;MEMBER;thamnv@localhost.com;thamnv@localhost.com
11;5;11;SUB_GROUP;NON_TECH;hieuvt@localhost.com;hieuvt@localhost.com
12;6;12;SUB_GROUP;PM_PO;nguyennq@localhost.com;nguyennq@localhost.com
13;6;13;SUB_GROUP;MEMBER;nguyennq@localhost.com;nguyennq@localhost.com
14;5;14;SUB_GROUP;NON_TECH;hieuvt@localhost.com;hieuvt@localhost.com
15;4;15;SUB_GROUP;MEMBER;thamnv@localhost.com;thamnv@localhost.com
16;3;1;SUB_GROUP;NON_TECH;vull@localhost.com;vull@localhost.com
17;2;2;SUB_GROUP;MEMBER;nguyenoi@localhost.com;nguyenoi@localhost.com
18;1;3;SUB_GROUP;NON_TECH;admin@localhost.com;admin@localhost.com
19;1;4;SUB_GROUP;MEMBER;admin@localhost.com;admin@localhost.com
20;2;5;SUB_GROUP;NON_TECH;Nguyenoi@localhost.com;nguyenoi@localhost.com
21;3;6;SUB_GROUP;MEMBER;vull@localhost.com;vull@localhost.com
22;4;9;SUB_GROUP;NON_TECH;thamnv@localhost.com;thamnv@localhost.com
23;5;20;SUB_GROUP;MEMBER;hieuvt@localhost.com;hieuvt@localhost.com
24;6;25;SUB_GROUP;NON_TECH;nguyennq@localhost.com;nguyennq@localhost.com
25;6;10;SUB_GROUP;MEMBER;nguyennq@localhost.com;nguyennq@localhost.com
