id;name;email;lang_key;password_hash;role_id;gender;created_by;last_modified_by
1;Admin;admin@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;1;MALE;admin@localhost.com;admin@localhost.com
2;User;user@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;user@localhost.com;user@localhost.com
3;binh;binhht@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;binhht@localhost.com;binhht@localhost.com
4;nhat;nhattcb@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;admin@localhost.com;admin@localhost.com
5;quyen;quyenltk@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;FEMALE;quyenltk@localhost.com;quyenltk@localhost.com
6;thuan;thuannd2@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;thuannd2@localhost.com;thuannd2@localhost.com
7;truong;truongtv@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;truongtv@localhost.com;truongtv@localhost.com
8;linh;linhntd@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;FEMALE;linhntd@localhost.com;linhntd@localhost.com
9;son;sonnh@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;sonnh@localhost.com;sonnh@localhost.com
10;toi;toina@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;toina@localhost.com;toina@localhost.com
11;thuan;thuandv@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;5;MALE;thuandv@localhost.com;thuandv@localhost.com
12;phuong;phuongntn@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;4;FEMALE;phuongntn@localhost.com;phuongntn@localhost.com
13;thao;thaoht@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;4;FEMALE;thaoht@localhost.com;thaoht@localhost.com
14;binh;binhqb@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;2;MALE;binhqb@localhost.com;binhqb@localhost.com
15;tham;thamnv@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;2;MALE;thamnv@localhost.com;thamnv@localhost.com
16;duc;ductx@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;3;MALE;ductx@localhost.com;ductx@localhost.com
17;son;sontvt@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;3;MALE;sontvt@localhost.com;sontvt@localhost.com
18;loc;locbn@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;3;MALE;locbn@localhost.com;locbn@localhost.com
19;vu;vull@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;2;MALE;vull@localhost.com;vull@localhost.com
20;hieu;hieuvt@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;2;FEMALE;hieuvt@localhost.com;hieuvt@localhost.com
21;bach;bachtt@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;3;MALE;bachtt@localhost.com;bachtt@localhost.com
22;ngoc;ngocnh@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;3;FEMALE;ngocnh@localhost.com;ngocnh@localhost.com
23;nguyen;nguyenoi@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;1;MALE;nguyenoi@localhost.com;nguyenoi@localhost.com
24;nguyen;nguyennq@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;2;MALE;nguyennq@localhost.com;nguyennq@localhost.com
25;son;sontd@localhost.com;en;$2a$12$QZ5BNqyv.rPXWP0IBwBOpepY3dlOOSpn/Lk0DMXR7WcA9kzko0Uwa;3;MALE;sontd@localhost.com;sontd@localhost.com
